Constellation,Type,ID,Remarks,RA,DEC,Mag,Size,Class
SCO,GC,6093,M80            ,16 17.0,-22 59,7.3,5.1,II         
SCO,GC,6121,M4 CRAB OR SPIDER GLOBULAR,16 23.6,-26 32,5.4,36,IX         
SCO,GC,6144,GCL  42           ,16 27.2,-26 01,9,7.4,XI         
SCO,OC,6242,OCL 1001          ,16 55.5,-39 28,6.4,9,I 3 m      
SCO,OC,6281,MOTH WING CLUSTER,17 04.8,-37 53,5.4,8,II 2 p n   
SCO,PN,6302,BUG NEBULA/BUTTERFLY NEB.,17 13.7,-37 06,9.6,1.2,6
SCO,OC,6383,6374,17 34.7,-32 35,5.5,20,IV 3 p n   
SCO,OC,6404,OCL 1024          ,17 39.6,-33 14,10.6,6,III 3 m    
SCO,OC,6400,PHANTOM CLUSTER,17 40.2,-36 58,8.8,12,II 2 m     
SCO,OC,6405,M6 BUTTERFLY CLUSTER,17 40.3,-32 15,4.2,33,III 2 p    
SCO,OC,6444,Ruprecht132            ,17 49.6,-34 49,?,12,IV 1 p     
SCO,GC,6441,SILVER NUGGET CLUSTER,17 50.2,-37 03,7.2,9.6,III        
SCO,OC,6451,OCL 1035/Tom Thumb Cluster      ,17 50.7,-30 13,8.2,8,II 1 p n   
SCT,OC,6649,OCL   66          ,18 33.5,-10 24,8.9,6,II 2 m     
SCT,OC,6664,SANTA'S SLEIGH CLUSTER,18 36.5,-08 11,7.8,12,III 2 m
SCT,OC,6694,M26,18 45.2,-09 23,8,10,I 1 m      
SCT,OC,6705,M11 WILD DUCK CLUSTER,18 51.1,-06 16,5.8,11,I 2 r      
SCT,GC,6712,GCL 103           ,18 53.1,-08 42,8.1,9.8,IX         
SER,GC,5904,M5 ROSE CLUSTER,15 18.6,+02 05,5.8,19.9,V          
SER,GC,6539,GCL  85           ,18 04.8,-07 35,8.9,7.9,X          
SER,OC,Trumpler32,Harvard 19        ,18 17.2,-13 21,12.2,12,I 2m :b    
SER,OC,6611,M16 EAGLE NEBULA--the cluster,18 18.8,-13 47,6,8,II 3 m n:a
SER,BN+OC,IC4703(BN),M16 EAGLE NEBULA--the nebula/Star Queen Nebula,18 18.8,-13 50,?,28,E
SER,OC,IC4756,TWEEDLEDEE CLUSTER,18 38.9,+05 26,4.6,40,III 2 m    
SEX,GAL,3115,MCG - 1-26- 18 SPINDLE GAL.   ,10 05.2,-07 43,8.9,7.3,E6         
SGE,OC,Harvard20,                  ,19 53.2,+18 21,7.7,8,III 2 p    
SGE,GC,6838,M71 ANGELFISH CLUSTER (ARROWHEAD),19 53.8,+18 47,8.4,6.1,XI         
SGR,GC,6440,GCL  77           ,17 48.9,-20 22,9.3,4.4,V          
SGR,PN,6445,BOX NEBULA (in same field as 6440)/COFFIN NEB.,17 49.3,-20 01,13,0.58,3b(3)      
SGR,OC,6494,M23,17 56.9,-19 01,5.5,25,III 1 m    
SGR,OC,6507,OCL   32          ,17 59.8,-17 27,9.6,8,IV 2 p     
SGR,N+CL,6514,M20 TRIFID NEBULA,18 02.5,-23 01,6.3,30,E+*        
SGR,DN,B86,"Forms a pairing with NGC6520 open cluster, INKSPOT NEB.",18 03.0,-27 52,n/a,6,
SGR,OC,6520,"DEAD MAN'S CHEST CLUSTER, NEXT TO B86",18 03.4,-27 53,7.6,5,I 2 m n    
SGR,GC,6522,GCL  82           ,18 03.6,-30 02,9.9,9.4,VI         
SGR,OC,6531,M21,18 04.2,-22 30,5.9,16,I 3 m      
SGR,BN,6523,M8 LAGOON NEBULA (Cluster = 6530),18 04.4,-24 23,4.6,15,E          
SGR,OC,6530,OCL   19   in Lagoon Nebula(6523)    ,18 04.5,-24 21,4.6,15,II 2 m n   
SGR,GC,6528,GCL  84           ,18 04.8,-30 03,9.6,5,V          
SGR,GC,6540,                  ,18 06.1,-27 46,14.6,1.5,XI         
SGR,GC,6544,STARFISH CLUSTER,18 07.3,-25 00,7.5,9.2,IX         
SGR,GC,6553,GCL  88           ,18 09.3,-25 54,8.3,9.2,XI         
SGR,GC,6558,GCL  89           ,18 10.3,-31 46,9.3,10.4,?
SGR,PN,6563,THE SOUTHERN RING NEBULA,18 12.0,-33 52,13,0.9,3a         
SGR,DN,B92,on northside of M24,18 15.6,-18 14,n/a,15,n/a
SGR,DN,B93,on northside of M24,18 16.9,-18 04,n/a,8,n/a
SGR,OC,6603,in M24,18 18.5,-18 24,11.1,4,I 1 r n    
SGR,OC,6613,M18 BLACK SWAN CLUSTER,18 20.0,-17 06,6.9,7,II 3 p n   
SGR,N+CL,6618,M17 SWAN NEB./OMEGA NEBULA/CHECKMARK NEB.,18 21.1,-16 11,6,27,III 3 m n:
SGR,GC,6624,GCL  93           ,18 23.7,-30 22,7.6,8.8,VI         
SGR,GC,6626,M28,18 24.5,-24 52,6.9,13.8,IV         
SGR,PN,6629,PK9-5.1;H II 204,18 25.7,-23 12,10.5,0.27,2a         
SGR,GC,6638,GCL  95           ,18 30.9,-25 30,9.2,7.3,VI         
SGR,GC,6637,M69,18 31.4,-32 21,7.7,9.8,V          
